Video Title,Link,Start Time,End Time,Text,Speaker
27 Friday Sermon by dr Rashad Khalifa Rashad Explains His Messengership Details About Commandments Q,https://www.youtube.com/watch?v=xouJtIryZ5w,00:00:00.000,00:00:07.829,أعوذ بِٱللَّهِ مِنَ ٱلشَّيْطَـٰنِ ٱلرَّجِيمِ,
27 Friday Sermon by dr Rashad Khalifa Rashad Explains His Messengership Details About Commandments Q,https://www.youtube.com/watch?v=xouJtIryZ5w,00:00:07.829,00:00:15.486,بِسْمِ اللهِ الرَّحْمٰنِ الرَّحِيْمِ,
27 Friday Sermon by dr Rashad Khalifa Rashad Explains His Messengership Details About Commandments Q,https://www.youtube.com/watch?v=xouJtIryZ5w,00:00:15.486,00:00:20.334,(36:1) يسٓ,
27 Friday Sermon by dr Rashad Khalifa Rashad Explains His Messengership Details About Commandments Q,https://www.youtube.com/watch?v=xouJtIryZ5w,00:00:20.334,00:00:25.972,(36:2) وَٱلْقُرْءَانِ ٱلْحَكِيمِ,
27 Friday Sermon by dr Rashad Khalifa Rashad Explains His Messengership Details About Commandments Q,https://www.youtube.com/watch?v=xouJtIryZ5w,00:00:26.283,00:00:29.484,(36:3) إِنَّكَ لَمِنَ ٱلْمُرْسَلِينَ,
27 Friday Sermon by dr Rashad Khalifa Rashad Explains His Messengership Details About Commandments Q,https://www.youtube.com/watch?v=xouJtIryZ5w,00:00:29.484,00:00:33.944,(36:4) عَلَىٰ صِرَٰطٍ مُّسْتَقِيمٍ,
27 Friday Sermon by dr Rashad Khalifa Rashad Explains His Messengership Details About Commandments Q,https://www.youtube.com/watch?v=xouJtIryZ5w,00:00:33.944,00:00:42.051,(36:5) تَنزِيلَ ٱلْعَزِيزِ ٱلرَّحِيمِ,
27 Friday Sermon by dr Rashad Khalifa Rashad Explains His Messengership Details About Commandments Q,https://www.youtube.com/watch?v=xouJtIryZ5w,00:00:42.051,00:00:51.482,(36:6) لِتُنذِرَ قَوْمًا مَّآ أُنذِرَ ءَابَآؤُهُمْ فَهُمْ غَـٰفِلُونَ,
27 Friday Sermon by dr Rashad Khalifa Rashad Explains His Messengership Details About Commandments Q,https://www.youtube.com/watch?v=xouJtIryZ5w,00:00:53.128,00:01:02.539,(36:7) لَقَدْ حَقَّ ٱلْقَوْلُ عَلَىٰٓ أَكْثَرِهِمْ فَهُمْ لَا يُؤْمِنُونَ,
27 Friday Sermon by dr Rashad Khalifa Rashad Explains His Messengership Details About Commandments Q,https://www.youtube.com/watch?v=xouJtIryZ5w,00:01:05.075,00:01:18.424,(36:8) إِنَّا جَعَلْنَا فِىٓ أَعْنَـٰقِهِمْ أَغْلَـٰلًا فَهِىَ إِلَى ٱلْأَذْقَانِ فَهُم مُّقْمَحُونَ,
