Video Title,Link,Start Time,End Time,Text
MA 79  —  Messenger Audio,https://www.youtube.com/watch?v=bepJYvW0XxQ,00:00:00.000,00:00:04.000,"First note, enough."
MA 79  —  Messenger Audio,https://www.youtube.com/watch?v=bepJYvW0XxQ,00:00:04.000,00:00:08.000,"When students Bible says that,"
MA 79  —  Messenger Audio,https://www.youtube.com/watch?v=bepJYvW0XxQ,00:00:08.000,00:00:13.000,only refers to Noah.
MA 79  —  Messenger Audio,https://www.youtube.com/watch?v=bepJYvW0XxQ,00:00:13.000,00:00:18.000,"Bible says that a raven was sent and a raven, I think, is a beauty."
MA 79  —  Messenger Audio,https://www.youtube.com/watch?v=bepJYvW0XxQ,00:00:18.000,00:00:20.000,"Then the dove of a pigeon was sent,"
MA 79  —  Messenger Audio,https://www.youtube.com/watch?v=bepJYvW0XxQ,00:00:20.000,00:00:25.000,"pigeon came away in some leaves, only leaves, then the hill there was land."
MA 79  —  Messenger Audio,https://www.youtube.com/watch?v=bepJYvW0XxQ,00:00:25.000,00:00:28.000,"See me refers to Mount Sinai and therefore to Moses,"
MA 79  —  Messenger Audio,https://www.youtube.com/watch?v=bepJYvW0XxQ,00:00:28.000,00:00:31.640,"And the only land referring to Mecca refers to Abraham,"
MA 79  —  Messenger Audio,https://www.youtube.com/watch?v=bepJYvW0XxQ,00:00:31.640,00:00:34.640,"itself, or Muhammad."
MA 79  —  Messenger Audio,https://www.youtube.com/watch?v=bepJYvW0XxQ,00:00:34.640,00:00:38.440,"But as I said before, he could have the submission"
MA 79  —  Messenger Audio,https://www.youtube.com/watch?v=bepJYvW0XxQ,00:00:38.440,00:00:41.520,that Adam dressed himself with pig leaves.
MA 79  —  Messenger Audio,https://www.youtube.com/watch?v=bepJYvW0XxQ,00:00:41.520,00:00:46.680,"He could have the submission that Noah sent a pigeon, which"
MA 79  —  Messenger Audio,https://www.youtube.com/watch?v=bepJYvW0XxQ,00:00:46.680,00:00:51.480,came back with only branches and so on.
MA 79  —  Messenger Audio,https://www.youtube.com/watch?v=bepJYvW0XxQ,00:00:51.480,00:00:54.360,"Mr. T. I mean, all the other persons"
MA 79  —  Messenger Audio,https://www.youtube.com/watch?v=bepJYvW0XxQ,00:00:54.360,00:00:56.320,But no one starts aware of this.
MA 79  —  Messenger Audio,https://www.youtube.com/watch?v=bepJYvW0XxQ,00:00:56.320,00:00:58.720,"This fellow, Syed Kuntu, a very good man,"
MA 79  —  Messenger Audio,https://www.youtube.com/watch?v=bepJYvW0XxQ,00:00:58.720,00:01:00.920,who was killed during NASA's regime.
MA 79  —  Messenger Audio,https://www.youtube.com/watch?v=bepJYvW0XxQ,00:01:00.920,00:01:04.200,"Syed Kuntu says this, huh?"
MA 79  —  Messenger Audio,https://www.youtube.com/watch?v=bepJYvW0XxQ,00:01:04.200,00:01:05.480,What was this guy's job?
MA 79  —  Messenger Audio,https://www.youtube.com/watch?v=bepJYvW0XxQ,00:01:05.480,00:01:09.040,But he does not try to prove it.
MA 79  —  Messenger Audio,https://www.youtube.com/watch?v=bepJYvW0XxQ,00:01:09.040,00:01:11.440,He was using his religious intuition
MA 79  —  Messenger Audio,https://www.youtube.com/watch?v=bepJYvW0XxQ,00:01:11.440,00:01:13.000,and a very good man like this.
