Video Title,Link,Start Time,End Time,Text
MA 78  —  Messenger Audio,https://www.youtube.com/watch?v=0eHjl3CR8S8,00:00:10.000,00:00:13.840,(singing in foreign language)
MA 78  —  Messenger Audio,https://www.youtube.com/watch?v=0eHjl3CR8S8,00:00:13.840,00:00:37.680,(speaking in foreign language)
MA 78  —  Messenger Audio,https://www.youtube.com/watch?v=0eHjl3CR8S8,00:00:39.680,00:00:57.680,I'm afraid that these people are going to sit there.
MA 78  —  Messenger Audio,https://www.youtube.com/watch?v=0eHjl3CR8S8,00:00:57.680,00:00:59.680,It will be longer than you can.
MA 78  —  Messenger Audio,https://www.youtube.com/watch?v=0eHjl3CR8S8,00:00:59.680,00:01:02.680,It will help them to be very fast.
MA 78  —  Messenger Audio,https://www.youtube.com/watch?v=0eHjl3CR8S8,00:01:02.680,00:01:07.180,"So at the very coheal, you will attention and concentration."
MA 78  —  Messenger Audio,https://www.youtube.com/watch?v=0eHjl3CR8S8,00:01:07.180,00:01:10.660,and have to go very far.
MA 78  —  Messenger Audio,https://www.youtube.com/watch?v=0eHjl3CR8S8,00:01:10.660,00:01:17.060,"The good bar, first part, we deal with the methodology"
MA 78  —  Messenger Audio,https://www.youtube.com/watch?v=0eHjl3CR8S8,00:01:17.060,00:01:20.300,for technique in understanding better
MA 78  —  Messenger Audio,https://www.youtube.com/watch?v=0eHjl3CR8S8,00:01:20.300,00:01:22.700,or understanding the ground for how
MA 78  —  Messenger Audio,https://www.youtube.com/watch?v=0eHjl3CR8S8,00:01:22.700,00:01:26.460,to get more out of the ground.
MA 78  —  Messenger Audio,https://www.youtube.com/watch?v=0eHjl3CR8S8,00:01:26.460,00:01:30.380,The second good bar would be dedicated to just one example
MA 78  —  Messenger Audio,https://www.youtube.com/watch?v=0eHjl3CR8S8,00:01:30.380,00:01:36.420,to illustrate the point of seeing this first good bar.
MA 78  —  Messenger Audio,https://www.youtube.com/watch?v=0eHjl3CR8S8,00:01:36.420,00:01:41.420,Now let me just remind you about the three quotations from the Quran.
MA 78  —  Messenger Audio,https://www.youtube.com/watch?v=0eHjl3CR8S8,00:01:41.420,00:01:47.420,"You notice very well, the stars have repeated and real repeated it."
MA 78  —  Messenger Audio,https://www.youtube.com/watch?v=0eHjl3CR8S8,00:01:47.420,00:01:50.420,So let me repeat it again.
MA 78  —  Messenger Audio,https://www.youtube.com/watch?v=0eHjl3CR8S8,00:01:50.420,00:01:58.420,"First, we did not leave anything out of this picture of God."
MA 78  —  Messenger Audio,https://www.youtube.com/watch?v=0eHjl3CR8S8,00:01:58.420,00:02:01.420,So we are 6-38.
MA 78  —  Messenger Audio,https://www.youtube.com/watch?v=0eHjl3CR8S8,00:02:01.420,00:02:02.420,Remember that now.
MA 78  —  Messenger Audio,https://www.youtube.com/watch?v=0eHjl3CR8S8,00:02:02.420,00:02:05.420,"Second, shall I seek other than God,"
MA 78  —  Messenger Audio,https://www.youtube.com/watch?v=0eHjl3CR8S8,00:02:05.420,00:02:09.820,"a source of law when he revealed to you this book,"
MA 78  —  Messenger Audio,https://www.youtube.com/watch?v=0eHjl3CR8S8,00:02:09.820,00:02:14.720,"who he detailed, the word, when I'm skipping an end,"
MA 78  —  Messenger Audio,https://www.youtube.com/watch?v=0eHjl3CR8S8,00:02:14.720,00:02:19.420,the word of your Lord is complete in truth and justice.
MA 78  —  Messenger Audio,https://www.youtube.com/watch?v=0eHjl3CR8S8,00:02:19.420,00:02:22.620,"So there are 642, 1442."
MA 78  —  Messenger Audio,https://www.youtube.com/watch?v=0eHjl3CR8S8,00:02:22.620,00:02:25.020,The third one.
MA 78  —  Messenger Audio,https://www.youtube.com/watch?v=0eHjl3CR8S8,00:02:25.020,00:02:29.820,"After saying that we and Nala had put the Quran together,"
MA 78  —  Messenger Audio,https://www.youtube.com/watch?v=0eHjl3CR8S8,00:02:29.820,00:02:35.020,"after reciting it, he said, then it is we who is explained."
MA 78  —  Messenger Audio,https://www.youtube.com/watch?v=0eHjl3CR8S8,00:02:35.020,00:02:37.020,I think it is very good.
