Video Title,Link,Start Time,End Time,Text
MA 98  —  Messenger Audio,https://www.youtube.com/watch?v=xGj3a8cvHQU,00:00:00.360,00:00:03.880,The picture.
MA 98  —  Messenger Audio,https://www.youtube.com/watch?v=xGj3a8cvHQU,00:00:03.880,00:00:15.500,"""Hey, maybe just a could and one you neighbours"
MA 98  —  Messenger Audio,https://www.youtube.com/watch?v=xGj3a8cvHQU,00:00:15.500,00:00:17.500,"can write to places that Raj is OK."""
MA 98  —  Messenger Audio,https://www.youtube.com/watch?v=xGj3a8cvHQU,00:00:17.500,00:00:20.160,""" Trying to ask the president... 5 00:00:20,160 --> 00:00:00,440 ""If I had the"
MA 98  —  Messenger Audio,https://www.youtube.com/watch?v=xGj3a8cvHQU,00:00:20.160,00:00:22.160,I'm not even sure.
MA 98  —  Messenger Audio,https://www.youtube.com/watch?v=xGj3a8cvHQU,00:00:22.160,00:00:26.160,And the things that actually everything that they do
MA 98  —  Messenger Audio,https://www.youtube.com/watch?v=xGj3a8cvHQU,00:00:26.160,00:00:31.160,"theorize, they certainly computerize here this next year."
MA 98  —  Messenger Audio,https://www.youtube.com/watch?v=xGj3a8cvHQU,00:00:31.160,00:00:35.160,And probably the most computerized next year in the world.
MA 98  —  Messenger Audio,https://www.youtube.com/watch?v=xGj3a8cvHQU,00:00:35.160,00:00:40.160,This of course is because of the growth of the stars for the matter.
MA 98  —  Messenger Audio,https://www.youtube.com/watch?v=xGj3a8cvHQU,00:00:40.160,00:00:46.160,"And is discovery of the 19th quote-quote ""venicolon"""
MA 98  —  Messenger Audio,https://www.youtube.com/watch?v=xGj3a8cvHQU,00:00:46.160,00:00:51.160,He continues to do new work in computer.
MA 98  —  Messenger Audio,https://www.youtube.com/watch?v=xGj3a8cvHQU,00:00:51.160,00:00:59.160,And he's learning more things about coding for on by means of computer.
MA 98  —  Messenger Audio,https://www.youtube.com/watch?v=xGj3a8cvHQU,00:00:59.160,00:01:04.960,Some other people here in the computer master are also starting to get involved in computer
MA 98  —  Messenger Audio,https://www.youtube.com/watch?v=xGj3a8cvHQU,00:01:04.960,00:01:13.160,"because of the system, you know, it's been doing the index of the English plan statement"
MA 98  —  Messenger Audio,https://www.youtube.com/watch?v=xGj3a8cvHQU,00:01:13.160,00:01:17.160,I'm not a state student but a lot of teachers are contributing on that.
MA 98  —  Messenger Audio,https://www.youtube.com/watch?v=xGj3a8cvHQU,00:01:17.160,00:01:21.160,I'm just really taking a quiet undertaking for myself.
MA 98  —  Messenger Audio,https://www.youtube.com/watch?v=xGj3a8cvHQU,00:01:21.160,00:01:23.160,It's been a few years before.
MA 98  —  Messenger Audio,https://www.youtube.com/watch?v=xGj3a8cvHQU,00:01:23.160,00:01:26.160,"It's very, very important process."
MA 98  —  Messenger Audio,https://www.youtube.com/watch?v=xGj3a8cvHQU,00:01:26.160,00:01:28.160,It's just very important.
MA 98  —  Messenger Audio,https://www.youtube.com/watch?v=xGj3a8cvHQU,00:01:28.160,00:01:32.160,"Now, Pustad asked me to give this group by the way."
