Video Title,Link,Start Time,End Time,Text
MA 76  —  Messenger Audio,https://www.youtube.com/watch?v=syTPdPwv9Kk,00:00:33.500,00:00:36.500,And you pay a high price for it.
MA 76  —  Messenger Audio,https://www.youtube.com/watch?v=syTPdPwv9Kk,00:00:36.500,00:00:41.500,And we have the best illustration as Arizona and the last.
MA 76  —  Messenger Audio,https://www.youtube.com/watch?v=syTPdPwv9Kk,00:00:41.500,00:00:46.500,Arizona Institute is allowed to make some money and they will never for it.
MA 76  —  Messenger Audio,https://www.youtube.com/watch?v=syTPdPwv9Kk,00:00:46.500,00:00:54.500,"The year they introduced the last one, the top of my bag, and the state has another million dollar tickets."
MA 76  —  Messenger Audio,https://www.youtube.com/watch?v=syTPdPwv9Kk,00:00:54.500,00:00:56.500,It's true.
MA 76  —  Messenger Audio,https://www.youtube.com/watch?v=syTPdPwv9Kk,00:00:56.500,00:00:58.500,A hundred million dollars.
MA 76  —  Messenger Audio,https://www.youtube.com/watch?v=syTPdPwv9Kk,00:00:58.500,00:01:01.500,Something never happened in the history of Arizona.
MA 76  —  Messenger Audio,https://www.youtube.com/watch?v=syTPdPwv9Kk,00:01:01.500,00:01:08.500,"So from the time they started the lottery, they have been poor and they have to have"
MA 76  —  Messenger Audio,https://www.youtube.com/watch?v=syTPdPwv9Kk,00:01:08.500,00:01:12.500,freezing with employment and cut down in budgets.
MA 76  —  Messenger Audio,https://www.youtube.com/watch?v=syTPdPwv9Kk,00:01:12.500,00:01:18.500,And I worked for the state and I didn't want this country to stay here.
MA 76  —  Messenger Audio,https://www.youtube.com/watch?v=syTPdPwv9Kk,00:01:18.500,00:01:25.500,And God does it in such a way that now the officials responsible for the lottery say
MA 76  —  Messenger Audio,https://www.youtube.com/watch?v=syTPdPwv9Kk,00:01:25.500,00:01:27.500,we have a hundred million dollar deficit.
MA 76  —  Messenger Audio,https://www.youtube.com/watch?v=syTPdPwv9Kk,00:01:27.500,00:01:30.500,Can you imagine who must put up him when that was the lottery?
MA 76  —  Messenger Audio,https://www.youtube.com/watch?v=syTPdPwv9Kk,00:01:30.500,00:01:35.500,So they never understand. They're not supposed to.
MA 76  —  Messenger Audio,https://www.youtube.com/watch?v=syTPdPwv9Kk,00:01:35.500,00:01:42.500,But it is a fact that the birth of life is born because of the loss.
MA 76  —  Messenger Audio,https://www.youtube.com/watch?v=syTPdPwv9Kk,00:01:42.500,00:01:44.500,And since the loss is tough.
MA 76  —  Messenger Audio,https://www.youtube.com/watch?v=syTPdPwv9Kk,00:01:44.500,00:01:46.500,And the same is true with us.
MA 76  —  Messenger Audio,https://www.youtube.com/watch?v=syTPdPwv9Kk,00:01:46.500,00:01:51.500,"If we are to break down some law and gamble in order to make money,"
MA 76  —  Messenger Audio,https://www.youtube.com/watch?v=syTPdPwv9Kk,00:01:51.500,00:01:54.500,"we'll probably get 10,000 and then do some hundred."
MA 76  —  Messenger Audio,https://www.youtube.com/watch?v=syTPdPwv9Kk,00:01:54.500,00:01:56.500,Somewhere else.
MA 76  —  Messenger Audio,https://www.youtube.com/watch?v=syTPdPwv9Kk,00:01:56.500,00:01:59.000,(indistinct)
MA 76  —  Messenger Audio,https://www.youtube.com/watch?v=syTPdPwv9Kk,00:01:59.000,00:02:04.840,(indistinct)
MA 76  —  Messenger Audio,https://www.youtube.com/watch?v=syTPdPwv9Kk,00:02:04.840,00:02:06.400,You have a smart phone.
MA 76  —  Messenger Audio,https://www.youtube.com/watch?v=syTPdPwv9Kk,00:02:06.400,00:02:08.800,(indistinct)
MA 76  —  Messenger Audio,https://www.youtube.com/watch?v=syTPdPwv9Kk,00:02:08.800,00:02:11.040,- So are these sweepstakes and bonuses
