Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:00:08.626,00:00:13.994,"Man has always believed in some kind of
a god.",Bill Buck,"A documentary-style program narrated by Bill Buck, with contributions from Dr. Rashad Khalifa, presenting the Quran's mathematical code as what it calls the ultimate miracle. The first half argues that modern people cannot be convinced by the localized miracles of earlier ages and need something perpetual, physical and verifiable, then surveys passages the program reads as anticipating modern science: embryology confirmed by Dr. Moore of the University of Toronto, the three veils of darkness, the Big Bang, the preserved body of Pharaoh, the moon as a reflector rather than a source of light, an egg-shaped Earth, the atmosphere as a protective ceiling, water as a requisite of every living thing, honey from the bee's belly, milk formed between urine and blood, plants created in pairs, moving mountains, mountains as stakes, and fingerprints, citing Maurice Bucaille's assessment that a fourteen-hundred-year-old text could not contain such ideas. The second half explains the code itself, using ""Jack and Jill went up the hill"" to show how hard it is to alter a sentence's letter counts while keeping its meaning, then reports the counts of the Quranic initials, the nineteen letters and four words of the opening statement with their totals of 19, 2698, 57 and 114, and the 6346 verses across 114 chapters. It closes with 19 as a signature the program finds in the 209 bones of the body and the 266 days of gestation, explains that 19 is the numerical value of the Arabic word for one, and argues that the code authenticates the earlier miracles of Moses and Jesus.",00:00:08.626,Man's Search for a God
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:00:24.730,00:00:31.390,"This need to believe in a supernatural and 
omnipotent being led many to search for a",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:00:31.390,00:00:40.240,"god, start wars in the name of a god, even create 
a god if they had to. Hello. My name is Bill Buck.",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:00:40.240,00:00:45.490,"In this report, we are going to present you what 
we call the ultimate miracle. You see, when man",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:00:45.490,00:00:50.110,"chose to believe in gods, most of these gods 
had one thing in common. It was required that",Bill Buck,,00:00:45.490,From Many Gods to One
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:00:50.110,00:00:55.690,"they be feared, worshipped, served and revered. 
Numerous religions sprang up to serve these",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:00:55.690,00:01:04.300,"gods. Some of the oldest religions still exist, 
today, namely Buddhism, Hinduism and Shintoism. Some",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:01:04.300,00:01:09.610,"of these religions believe in many gods for 
example, a god of fire, a god of water, a god of",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:01:09.610,00:01:19.030,"love, a god of prosperity and so on. Then, came the 
monotheistic religions. Those that believe in one",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:01:19.030,00:01:25.210,"God. All of which are considered major influences 
in global history and affairs. These are Judaism",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:01:25.210,00:01:31.300,"Christianity and Islam and significantly they 
share a common belief in one... global history and",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:01:31.300,00:01:38.500,"affairs. These are Judaism, Christianity and Islam 
and significantly they share a common belief in",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:01:38.500,00:01:44.890,"one supreme God. Perhaps, the best way to portray 
these is to look at Jerusalem where all three",Bill Buck,,00:01:38.500,"Moses, Jesus and Muhammad"
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:01:44.890,00:01:50.950,"religions mingle. We have a historical account of 
biblical and other prophets and the miracles that",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:01:50.950,00:01:56.980,they are credited with having performed. There was Moses who we are told talked to God and led the,Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:01:56.980,00:02:02.050,"Jews out of bondage and brought them the Ten 
Commandments. He even parted the Red Sea when",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:02:02.050,00:02:07.870,"pursued by Pharaoh and his troops, according to the 
Bible. There was Jesus Christ who is the son of the",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:02:07.870,00:02:14.840,"living God to Christians. Through him Christians entered 
into a new covenant with their Creator. Lastly",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:02:14.840,00:02:21.920,"there was Muhammad. Muslim history tells us that in Mecca, God revealed to him the Quran, the Muslim",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:02:21.920,00:02:29.030,"holy book which is recited fervently and followed 
by one-fifth of the world's population. For many",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:02:29.030,00:02:34.850,"centuries and in spite of man's experience with 
religion, there still remain many mysteries. The",Bill Buck,,00:02:29.030,A Sea of Religious Confusion
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:02:34.850,00:02:40.760,"most baffling and complex mystery of all remains 
the identity and the concept of this God that man",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:02:40.760,00:02:47.030,"has never seen and yet believes in so religiously. 
This sea of religious confusion has been swelling",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:02:47.030,00:02:54.320,"all the time. Many religions all claiming to be 
right began to break into sects. During all this",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:02:54.320,00:03:01.160,"time, man was advancing economically, socially, militarily and intellectually. Man continued to",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:03:01.160,00:03:08.810,"advance technologically at an unprecedented pace. But in terms of religion, he was still in this sea",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:03:08.810,00:03:14.750,"of confusion often misled by tricksters and deeply 
disappointed with his unanswered prayers to this",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:03:14.750,00:03:23.390,"unseen God. Disappointment and confusion led many 
to lose their belief. Agnosticism and atheism have",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:03:23.390,00:03:31.370,"become widespread. Many now openly reject or at 
least question the existence of this God who",Bill Buck,,00:03:23.390,Darwin and the Rise of Doubt
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:03:31.370,00:03:37.610,"has been so popular throughout the ages. The 
theory of Darwin became the accepted opinion",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:03:37.610,00:03:42.350,"of many scientists and scholars who were able 
to draw supportable conclusions from the proof",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:03:42.350,00:03:47.780,"and arguments presented. But now most scientific 
and religious thinkers realized that there are",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:03:47.780,00:03:55.160,"deeper questions. So, where does that leave us? Are there any real solutions to this religious",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:03:55.160,00:04:01.160,"dilemma? On the one hand, man cannot accept the 
illogical practices that religion dictates to him",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:04:01.160,00:04:07.850,"yet by denying God, man still doesn't find the 
answers to some of his most burning questions",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:04:07.850,00:04:16.610,"such as ""Who am I? Why am I here? Is there a god? What is the purpose of life?"" Just when man's",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:04:16.610,00:04:22.250,"tolerance to manual labor reached a limit and the Industrial Revolution lay around the corner, now an",Bill Buck,,00:04:16.610,Why Old Miracles No Longer Convince
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:04:22.250,00:04:27.920,"intellectually enlightening revolution seems to 
be around the corner. Previous generations were",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:04:27.920,00:04:33.860,"converted to believe in God by means of miracles. However, modern man cannot believe in God because of",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:04:33.860,00:04:40.460,"these. He has watched men walk on the moon. He is 
presented daily with the latest technological",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:04:40.460,00:04:48.080,"marvel. He has come across too many false claims, 
fake miracles and fake prophets. He has become very",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:04:48.080,00:04:54.620,"cynical especially when it comes to ancient myths 
and beliefs. With some arrogance, he believes that",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:04:54.620,00:05:01.940,"he knows more than his forefathers let alone those 
ancient reporters of fantastic events. He wonders",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:05:01.940,00:05:07.850,"what they would have thought of some of today's 
miracles. Today's man needs something substantial.",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:05:07.850,00:05:13.220,"He needs an ultimate miracle. All the miracles that 
were supposed to have converted man over the ages",Bill Buck,,00:05:07.850,What an Ultimate Miracle Requires
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:05:13.220,00:05:19.070,were limited to a particular geographical location or a time period. By definition an ultimate miracle,Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:05:19.070,00:05:23.780,would be something that is perpetual not limited to a certain century or a geographical location.,Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:05:23.780,00:05:30.200,"It would be for all of the people to see all of 
the time. It would be something that is physical",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:05:30.200,00:05:38.990,"touchable, examinable, verifiable and irrefutable. A few years ago, noted scientist and television",Bill Buck,,00:05:30.200,Carl Sagan's Coded Message
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:05:38.990,00:05:45.320,"personality, Carl Sagan, in his best-selling novel, talked about a mathematically coded message from",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:05:45.320,00:05:51.950,"outer space. On page 431, the author states ""my fondest hope for this book is that it would",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:05:51.950,00:05:57.200,"be made obsolete by the pace of real scientific discovery."" Well, it seems that Carl Sagan's fondest",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:05:57.200,00:06:02.360,hope has come true. Research over the past few years has uncovered just such a mathematical,Bill Buck,,00:05:57.200,Embryology and Dr. Moore
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:06:02.360,00:06:08.780,"code in a document that is over 1,400 years 
old. There are other miraculous aspects to this",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:06:08.780,00:06:14.960,"document. For instance, only in the past 20 years has science been able to witness the development",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:06:14.960,00:06:21.980,"of the fetus in the very early stages. However, 1,400 years ago, the development of the fetus in",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:06:21.980,00:06:28.280,the first 28 days had already been documented and with such graphic accuracy that it left,Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:06:28.280,00:06:34.970,"Dr. Moore, chairman of the anatomy department of the University of Toronto, utterly amazed. For at",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:06:34.970,00:06:41.900,"this stage, the embryo is only about one tenth of a millimeter long and would appear like a dot to",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:06:41.900,00:06:49.310,"the human eye. To discern its shape would require a powerful microscope. However, microscopes were",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:06:49.310,00:06:57.350,"not developed until the 17th century and yet 1,400 years ago we find the following: ""there after",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:06:57.350,00:07:06.170,"we created of the drop a thing which clings, a 
leech-like structure."" Dr. Moore confirmed that",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:07:06.170,00:07:12.260,"the embryo does in fact cling to the wall 
of the uterus. Another passage describes the",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:07:12.260,00:07:20.870,"stages of fetus development. ""God makes you in 
the wombs of your mothers in stages one after",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:07:20.870,00:07:29.060,"another within three veils of darkness."" Dr. Moore 
confirmed the accuracy of this description, also.",Bill Buck,,00:07:20.870,Three Veils of Darkness
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:07:29.060,00:07:34.400,"He explained that the three veils could reasonably 
be interpreted to mean the mother's abdominal wall",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:07:34.400,00:07:41.450,"the wall of the uterus and the amnio chorionic 
membrane. It goes on. We've all heard about the",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:07:41.450,00:07:47.788,"Big Bang Theory but who would expect to find an 
account about the Big Bang Theory 1,400 years ago",Bill Buck,,,
49 The Creators Signature,https://www.youtube.com/watch?v=utI1q7zHKD0,00:07:47.788,00:07:55.640,"but there it is. ""Do the disbelievers not realize 
that the heavens and the earth used to be one",Bill Buck,,00:07:47.788,The Big Bang and Multiple Worlds
